"Countries of the UK, unitary authorities, local authorities, metropolitan and London boroughs and counties",,All,,Laos,,Latvia,,Lebanon,,Libya,,Lithuania,,Luxembourg,,Macedonia,,Malawi,,Malaysia,,Malta,,Mauritius,,Mexico,,Moldova,,Morocco,,Netherlands,,New Zealand,,Nigeria,,Norway,,Pakistan,,Philippines,,Poland,,Portugal,,Republic of Ireland,,Romania,,Russia,,San Marino,,Seychelles,,Sierra Leone,,Singapore,,Slovakia,,Slovenia,,Somalia,,South Africa,,South Korea,,Spain,,Sri Lanka,,Sudan (Ex),,Sweden,,Switzerland,,Taiwan,,Tanzania,,Thailand,,Trinidad and Tobago,,Tunisia,,Turkey,,Uganda,,Ukraine,,United States of America,,Uruguay,,Vatican City,,Venezuela,,Vietnam,,Zambia,,Zimbabwe,
Area Code4,Area Name,estimate,"CI5, 6 +/-",estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-,estimate,CI +/-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000026,    Allerdale,93,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E07000027,    Barrow-in-Furness,70,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E07000028,    Carlisle,103,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E07000029,    Copeland,69,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.
E07000030,    Eden,51,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E07000031,    South Lakeland,101,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E11000001,  Greater Manchester (Met County),2 525,z,.,.,c,c,c,c,2,2,c,c,.,.,.,.,2,2,1,1,c,c,.,.,1,1,.,.,.,.,c,c,1,1,1,1,.,.,10,4,c,c,2,2,1,1,19,5,c,c,0,1,.,.,1,1,c,c,1,1,c,c,.,.,5,3,1,1,c,c,2,1,.,.,.,.,2,2,c,c,c,c,.,.,0,1,.,.,.,.,3,2,.,.,0,1,1,1,.,.,.,.,.,.,c,c,1,1,2,2
E08000001,    Bolton,263,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,c,c,c,c,.,.,1,1,c,c,c,c,c,c,1,1,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,.,.,.,.,.,.,.,.,c,c
E08000002,    Bury,179,z,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,0~,1,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,c,c,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,c,c,c,c,.,.,.,.,.,.,c,c,.,.,1,1
E08000003,    Manchester,439,z,.,.,.,.,c,c,2,2,.,.,.,.,.,.,2,2,1,1,c,c,.,.,.,.,.,.,.,.,.,.,.,.,c,c,.,.,5,3,.,.,c,c,c,c,5,3,.,.,c,c,.,.,1,1,c,c,1,1,.,.,.,.,3,2,1,1,c,c,1,1,.,.,.,.,1,2,.,.,c,c,.,.,.,.,.,.,.,.,1,2,.,.,c,c,c,c,.,.,.,.,.,.,c,c,1,2,1,1
